i;j;distrout
Nefta;Jerba Ajim;332
Monastir;Jerba Ajim;368
Mornaguia;Jerba Ajim;521
Om Laraies;Jerba Ajim;320
Ouedhref;Jerba Ajim;122
Jedeida;Jerba Houmet Souk;549
Jemmal;Jerba Houmet Souk;370
Jendouba;Jerba Houmet Souk;498
Kairouan;Jerba Houmet Souk;335
Ksar;Jerba Houmet Souk;265
Korba;Jerba Houmet Souk;506
Ksour Essef;Jerba Houmet Souk;356
Kerkenah;Jerba Houmet Souk;318
Kebili;Jerba Houmet Souk;233
Kelibia;Jerba Houmet Souk;545
Mahdia;Jerba Houmet Souk;364
Mahres;Jerba Houmet Souk;245
Makthar;Jerba Houmet Souk;401
Le Kef;Jerba Houmet Souk;469
Bizerte;Jerba Houmet Souk;595
Bouficha;Jerba Houmet Souk;450
Bou Arada;Jerba Houmet Souk;452
Bou Argoub;Jerba Houmet Souk;479
Bou Salem;Jerba Houmet Souk;654
Benane Bodher;Jerba Houmet Souk;380
Ben Guerdane;Jerba Houmet Souk;94
Beja;Jerba Houmet Souk;636
Chebba;Jerba Houmet Souk;343
Dahmani;Jerba Houmet Souk;444
Enfidha;Jerba Houmet Souk;429
El Jem;Jerba Houmet Souk;326
El Fahs;Jerba Houmet Souk;425
Douz;Jerba Houmet Souk;232
Ghar El Melh;Jerba Houmet Souk;577
Ghardimaou;Jerba Houmet Souk;518
Guettar;Jerba Houmet Souk;247
Gromballia;Jerba Houmet Souk;489
Feriana;Jerba Houmet Souk;338
Gafsa;Jerba Houmet Souk;268
Gabes;Jerba Houmet Souk;111
Gaafour;Jerba Houmet Souk;447
Sidi Thabet;Jerba Houmet Souk;549
Siliana;Jerba Houmet Souk;410
Sidi Bou Ali;Jerba Houmet Souk;406
Sidi Bouzid;Jerba Houmet Souk;290
Tabarka;Jerba Houmet Souk;564
Sousse;Jerba Houmet Souk;391
Souk El Ahad;Jerba Houmet Souk;249
Skhira;Jerba Houmet Souk;175
Sers;Jerba Houmet Souk;435
Sbeitla;Jerba Houmet Souk;352
Sfax;Jerba Houmet Souk;276
Tozeur;Jerba Houmet Souk;326
Tunis;Jerba Houmet Souk;523
Tajerouine;Jerba Houmet Souk;456
Takelsa;Jerba Houmet Souk;516
Agareb;Jerba Houmet Souk;264
Testour;Jerba Houmet Souk;490
Tela;Jerba Houmet Souk;416
Tebourba;Jerba Houmet Souk;560
Teboursouk;Jerba Houmet Souk;462
Tataouine;Jerba Houmet Souk;126
Zarzis;Jerba Houmet Souk;43
Zaghouan;Jerba Houmet Souk;481
Zeramdine;Jerba Houmet Souk;364
Zriba;Jerba Houmet Souk;465
Alia;Jerba Houmet Souk;577
Metlaoui;Jerba Houmet Souk;306
Metouia;Jerba Houmet Souk;135
Moknine;Jerba Houmet Souk;382
Mateur;Jerba Houmet Souk;592
Mareth;Jerba Houmet Souk;75
Menzel Temime;Jerba Houmet Souk;530
Menzel Bourguiba;Jerba Houmet Souk;594
Menzel Hayet;Jerba Houmet Souk;355
Medenine;Jerba Houmet Souk;70
Mediaz El Bab;Jerba Houmet Souk;471
Meknassy;Jerba Houmet Souk;233
M'Dhilla;Jerba Houmet Souk;275
Nabeul;Jerba Houmet Souk;475
