"id";"reg";"mil";"sex";"age";"mat";"ins";"csp";"nbp";"pvr";"rev"
258;"GT";"urbain";"homme";66;"marie";"primaire";"inactif";4;FALSE;4765
259;"GT";"urbain";"homme";44;"marie";"secondaire";"ouvrier";4;FALSE;3191
260;"GT";"urbain";"homme";45;"marie";"supérieur";"ouvrier";5;FALSE;4516
261;"GT";"urbain";"homme";67;"marie";"aucun";"retraité";4;FALSE;6904
262;"GT";"urbain";"femme";47;"divorce";"primaire";"inactif";2;FALSE;7750
263;"GT";"urbain";"homme";41;"marie";"supérieur";"ouvrier";4;FALSE;3906
264;"GT";"urbain";"homme";30;"marie";"primaire";"employé";3;FALSE;10035
265;"GT";"urbain";"femme";36;"veuf";"secondaire";"ouvrier";2;FALSE;7887
266;"GT";"urbain";"homme";47;"marie";"primaire";"indépendant";4;FALSE;5912
267;"GT";"urbain";"homme";48;"marie";"secondaire";"employé";4;FALSE;7468
268;"GT";"urbain";"homme";67;"marie";"primaire";"retraité";3;FALSE;3881
269;"GT";"urbain";"femme";67;"divorce";"secondaire";"inactif";2;FALSE;5882
270;"GT";"urbain";"homme";41;"marie";"secondaire";"employé";4;FALSE;2997
271;"GT";"urbain";"homme";51;"marie";"secondaire";"ouvrier";5;FALSE;2973
272;"GT";"urbain";"homme";48;"marie";"primaire";"ouvrier";4;FALSE;3766
273;"GT";"urbain";"homme";61;"marie";"primaire";"retraité";3;FALSE;5592
274;"GT";"urbain";"femme";58;"veuf";"aucun";"inactif";3;FALSE;6323
275;"GT";"urbain";"homme";58;"marie";"primaire";"indépendant";4;FALSE;5569
276;"GT";"urbain";"femme";48;"veuf";"aucun";"employé";3;FALSE;4760
277;"GT";"urbain";"homme";48;"marie";"primaire";"indépendant";5;FALSE;5770
278;"GT";"urbain";"femme";58;"veuf";"secondaire";"inactif";3;FALSE;5768
279;"GT";"urbain";"homme";43;"marie";"primaire";"employé";5;FALSE;4026
280;"GT";"urbain";"homme";46;"marie";"primaire";"ouvrier";5;FALSE;3971
281;"GT";"urbain";"homme";58;"marie";"secondaire";"ouvrier";5;FALSE;7607
282;"GT";"urbain";"femme";68;"veuf";"aucun";"inactif";5;FALSE;10812
283;"GT";"urbain";"homme";57;"marie";"primaire";"indépendant";6;FALSE;4639
284;"GT";"urbain";"homme";87;"veuf";"aucun";"inactif";2;FALSE;5562
285;"GT";"urbain";"homme";66;"marie";"primaire";"ouvrier";3;FALSE;4114
286;"GT";"urbain";"homme";72;"marie";"aucun";"retraité";2;FALSE;5859
287;"GT";"urbain";"femme";57;"veuf";"primaire";"inactif";3;FALSE;4868
288;"GT";"urbain";"homme";63;"marie";"secondaire";"retraité";4;FALSE;12145
